chl,adg.440,bbp550,chl.sd,acdom.440.sd,anap440.sd
0.065099213,0.006193966,0.001299365,1.96E-05,NA,1.54E-07
0.055084639,0.006275788,0.001958533,1.37E-05,NA,1.45E-07
0.086680185,0.010902168,0.001394185,2.31E-05,NA,1.65E-07
0.058350597,0.004499087,0.002771298,1.14E-05,NA,1.42E-07
0.040239925,0.004660976,0.003713737,7.19E-06,NA,1.33E-07
0.100592629,0.014674192,0.002725472,1.67E-05,NA,1.61E-07
0.053248277,0.003753497,0.002877681,1.03E-05,NA,1.39E-07
0.107705162,0.010945349,0.002206044,2.13E-05,NA,1.68E-07
0.05574539,0.004220403,0.001473706,1.63E-05,NA,1.49E-07
0.055217346,0.005279634,0.00297026,1.04E-05,NA,1.41E-07
0.086937935,0.007894103,0.002380129,1.73E-05,NA,1.57E-07
0.092452882,0.011633703,0.001288991,2.51E-05,NA,1.68E-07
0.05140157,0.003055547,0.001652731,1.42E-05,NA,1.44E-07
0.151651217,0.012245195,0.002917216,2.38E-05,NA,1.80E-07
0.148688498,0.017385916,0.001731007,3.90E-05,1.46E-06,1.93E-07
0.08809201,0.006742518,0.002970795,1.50E-05,NA,1.54E-07
0.080796655,0.011188785,0.003000521,1.42E-05,NA,1.54E-07
0.103057842,0.010019854,0.002871709,1.75E-05,NA,1.62E-07
0.086474318,0.007439603,0.003951451,1.20E-05,NA,1.52E-07
0.148825362,0.012389721,0.002940798,2.28E-05,NA,1.79E-07
0.08182784,0.004218152,0.001752511,1.98E-05,NA,1.57E-07
0.154220397,0.014176109,0.003332161,2.11E-05,NA,1.79E-07
0.070290935,0.005749392,0.003065234,1.22E-05,NA,1.47E-07
0.189345913,0.017549902,0.002213876,3.95E-05,1.00E-06,2.04E-07
0.09138296,0.007549187,0.001878846,2.08E-05,NA,1.61E-07
0.087807594,0.008820379,0.001862919,2.02E-05,NA,1.61E-07
0.120196894,0.009513737,0.002601445,2.12E-05,NA,1.69E-07
0.091921029,0.006024712,0.002813482,1.62E-05,NA,1.56E-07
0.128135498,0.011289872,0.002692965,2.18E-05,NA,1.73E-07
0.132972684,0.011394079,0.001803573,2.85E-05,NA,1.81E-07
0.142197507,0.012484677,0.002124667,2.78E-05,NA,1.81E-07
0.064569657,0.005825652,0.002986096,1.17E-05,NA,1.45E-07
0.164909203,0.014386939,0.002769298,2.57E-05,NA,1.85E-07
0.082711584,0.008033888,0.002921051,1.44E-05,NA,1.53E-07
0.193859485,0.014265551,0.001803523,3.34E-05,NA,2.00E-07
0.157316954,0.01977349,0.001653125,4.24E-05,1.27E-06,2.01E-07
0.048668284,0.003795879,0.003127947,9.28E-06,NA,1.38E-07
0.102580511,0.008000972,0.001732397,2.40E-05,NA,1.67E-07
0.310442889,0.021004206,0.003590976,4.83E-05,1.00E-06,2.34E-07
0.133228538,0.012214325,0.00235188,2.40E-05,NA,1.76E-07
0.112507534,0.007720129,0.003234758,1.73E-05,NA,1.63E-07
0.228695413,0.013979261,0.004069786,2.68E-05,NA,1.99E-07
0.15726584,0.011665628,0.001084514,4.11E-05,NA,1.95E-07
0.207911355,0.020636315,0.002888998,3.86E-05,1.08E-06,2.10E-07
0.329095197,0.02129693,0.002844496,6.29E-05,1.35E-06,2.41E-07
0.155209035,0.011341758,0.003091121,2.31E-05,NA,1.80E-07
0.131113626,0.012197172,0.001724821,2.80E-05,NA,1.80E-07
0.324517779,0.021467705,0.002767118,6.31E-05,1.35E-06,2.40E-07
0.148250629,0.010592191,0.004116767,1.82E-05,NA,1.74E-07
0.242549902,0.013847362,0.002275355,3.89E-05,NA,2.10E-07
0.131415604,0.009285757,0.003851156,1.73E-05,NA,1.68E-07
0.272276071,0.012973089,0.001258204,4.62E-05,NA,2.29E-07
0.271916684,0.017273306,0.001,NA,2.02E-06,NA
0.260421681,0.018932957,0.001506129,7.41E-05,1.67E-06,2.31E-07
0.120205339,0.012831956,0.001995762,2.35E-05,NA,1.74E-07
0.235479652,0.018655839,0.001,9.69E-05,1.95E-06,2.80E-07
0.317602766,0.016326565,0.002680274,6.14E-05,1.53E-06,2.36E-07
0.308880575,0.021913362,0.003000959,5.75E-05,1.33E-06,2.36E-07
0.155445444,0.011353265,0.002729163,2.61E-05,NA,1.82E-07
0.1856054,0.015230765,0.003445566,2.31E-05,NA,1.87E-07
0.175796237,0.012065952,0.002726641,2.83E-05,NA,1.89E-07
0.228409993,0.015137142,0.002128631,NA,NA,2.03E-07
0.159986593,0.014409351,0.003676319,1.93E-05,NA,1.77E-07
0.261556626,0.014066917,0.003535402,3.18E-05,NA,2.09E-07
0.221722943,0.016156372,0.003692062,3.44E-05,1.42E-06,2.10E-07
0.273570942,0.022423899,0.003470345,4.54E-05,1.15E-06,2.26E-07
0.26393354,0.020236294,0.002532373,5.41E-05,1.32E-06,2.25E-07
0.47760382,0.026598914,0.003755167,8.40E-05,1.75E-06,2.75E-07
0.262402261,0.026531946,0.003471742,4.59E-05,1.31E-06,2.27E-07
0.249624147,0.013081465,0.003102962,3.49E-05,NA,2.07E-07
0.308493167,0.013252063,0.003841975,3.63E-05,NA,2.21E-07
0.445323737,0.016709958,0.002627577,8.99E-05,1.57E-06,2.64E-07
0.214599959,0.022707208,0.004511484,2.91E-05,8.80E-07,2.09E-07
0.291452201,0.015476327,0.004350589,4.24E-05,1.74E-06,2.26E-07
0.335043662,0.016898507,0.004204604,4.47E-05,8.86E-07,2.32E-07
0.124509151,0.00882833,0.004001435,1.60E-05,NA,1.65E-07
0.25177884,0.01508898,0.001692635,6.59E-05,1.89E-06,2.23E-07
0.22039985,0.018145418,0.003416604,3.38E-05,8.29E-07,2.07E-07
0.134733582,0.008708983,0.005089101,1.44E-05,NA,1.68E-07
0.505658273,0.02601091,0.002519312,0.00012212,2.40E-06,2.88E-07
0.206656354,0.011062598,0.00276324,3.24E-05,NA,1.97E-07
0.388679653,0.01770562,0.002242183,8.64E-05,1.52E-06,2.55E-07
0.377234744,0.040402677,0.002170533,0.000118105,3.74E-06,2.77E-07
0.318645157,0.016141099,0.001912325,7.55E-05,1.47E-06,2.38E-07
0.377390477,0.014073405,0.001265042,0.000119665,2.40E-06,2.55E-07
0.243073036,0.019741763,0.004666471,3.03E-05,7.70E-07,2.13E-07
0.295570983,0.025562603,0.003025499,5.75E-05,1.51E-06,2.37E-07
0.457372194,0.022071439,0.001,0.000183939,3.39E-06,2.85E-07
0.350265839,0.017097724,0.0039864,4.97E-05,1.01E-06,2.35E-07
0.827348475,0.032641425,0.002658292,0.000230185,3.88E-06,3.58E-07
0.683341132,0.030758996,0.004126366,0.000121454,2.08E-06,3.18E-07
0.727717069,0.028044231,0.004653575,0.00011661,1.93E-06,3.20E-07
0.468414249,0.040474846,0.00355523,0.000101031,2.92E-06,2.86E-07
0.275111326,0.010092362,0.001176726,6.63E-05,NA,2.29E-07
0.3704548,0.032474111,0.004480084,5.77E-05,1.57E-06,2.53E-07
0.576645221,0.038250068,0.0024741,0.000167199,3.98E-06,3.16E-07
0.400990298,0.033548696,0.003192211,8.46E-05,2.25E-06,2.67E-07
0.597343547,0.034181771,0.001797775,0.000210589,4.50E-06,3.23E-07
0.408270535,0.038482138,0.00475919,6.60E-05,1.96E-06,2.66E-07
0.584517705,0.048361908,0.002953936,0.000164609,4.76E-06,3.22E-07
0.689185288,0.025977487,0.002742571,0.000166548,2.74E-06,3.22E-07
0.621929568,0.031591873,0.003300181,0.000135526,2.76E-06,3.11E-07
0.471450386,0.027909878,0.003120852,9.91E-05,2.21E-06,2.79E-07
0.402675154,0.019357582,0.003329848,6.92E-05,1.31E-06,2.54E-07
0.26785409,0.019755715,0.004222291,3.65E-05,8.99E-07,2.19E-07
0.232605119,0.012297686,0.004102231,2.73E-05,NA,2.00E-07
0.577983319,0.030016042,0.00345661,0.000117103,2.35E-06,3.01E-07
0.464526518,0.034596495,0.002024387,0.000145245,3.71E-06,2.91E-07
0.529204922,0.030620177,0.003524145,0.000104213,2.29E-06,2.89E-07
0.341925873,0.012877186,0.002395413,4.04E-05,NA,2.38E-07
0.486870662,0.043328009,0.003376004,0.000113861,3.40E-06,2.94E-07
0.384427305,0.021975034,0.005753638,4.32E-05,9.34E-07,2.44E-07
0.396925174,0.010577768,0.001784335,7.60E-05,NA,2.55E-07
0.731065634,0.027786342,0.004178741,0.00012981,2.19E-06,3.23E-07
0.656967173,0.063333662,0.003946374,0.000166939,5.46E-06,3.42E-07
1.170993993,0.043790514,0.003225986,0.00034189,5.88E-06,4.28E-07
0.453004871,0.023652656,0.004527908,6.53E-05,1.37E-06,2.62E-07
0.38595093,0.021313547,0.004975947,4.85E-05,1.02E-06,2.46E-07
1.078947175,0.032515133,0.005849971,0.000167894,2.58E-06,3.82E-07
0.550118488,0.021841542,0.005246961,6.96E-05,1.18E-06,2.77E-07
0.736021303,0.024342271,0.003896304,0.000135813,2.21E-06,3.22E-07
0.712217994,0.063900249,0.004923698,0.000150203,4.74E-06,3.47E-07
0.512837836,0.018937161,0.00255763,0.000112636,1.85E-06,2.81E-07
0.660105541,0.022356994,0.006357751,7.51E-05,1.19E-06,2.97E-07
0.825600656,0.070119646,0.004402797,0.000204283,6.14E-06,3.78E-07
0.722557101,0.046518409,0.004195083,0.000150185,3.55E-06,3.39E-07
1.140580891,0.045186443,0.005318434,0.000214143,3.97E-06,4.04E-07
0.449567468,0.014026946,0.003657577,7.33E-05,1.70E-06,2.57E-07
0.634369609,0.035773144,0.00504326,0.000100244,2.18E-06,3.09E-07
1.073330693,0.037590252,0.004145151,0.000234461,3.78E-06,3.97E-07
0.59953763,0.02974324,0.002242689,0.000172142,3.43E-06,3.13E-07
0.806811783,0.072272762,0.006948272,0.000126924,3.69E-06,3.60E-07
0.588021539,0.037881488,0.003382866,0.000135107,3.40E-06,3.10E-07
0.661841705,0.036768601,0.0047121,0.000113311,2.46E-06,3.16E-07
0.452985542,0.021289344,0.003917963,7.13E-05,1.35E-06,2.63E-07
0.543680005,0.019574438,0.007618314,4.98E-05,8.52E-07,2.73E-07
0.744186246,0.047528436,0.002060583,0.000285576,7.04E-06,3.62E-07
0.611914918,0.046461395,0.005806656,9.42E-05,2.60E-06,3.09E-07
1.163633888,0.105572788,0.009327109,0.000186938,6.19E-06,4.47E-07
0.806876936,0.049328513,0.00855605,9.34E-05,2.20E-06,3.44E-07
1.802200836,0.112193664,0.006200308,0.000461326,1.20E-05,5.64E-07
1.858023569,0.06556051,0.003622432,0.000647466,1.11E-05,5.60E-07
1.409861394,0.091259368,0.006948085,0.000281962,7.37E-06,4.81E-07
1.234334938,0.059401039,0.004533652,0.000304783,6.64E-06,4.41E-07
1.256339062,0.068462864,0.006893251,0.000217444,4.93E-06,4.36E-07
1.594764297,0.123377383,0.008070794,0.000328845,9.78E-06,5.36E-07
1.520620733,0.05972817,0.005922369,0.000307458,5.55E-06,4.81E-07
1.80002398,0.049582269,0.00894966,0.000246188,3.45E-06,5.02E-07
0.910975687,0.051361983,0.009780364,9.66E-05,2.21E-06,3.61E-07
1.122269098,0.055783097,0.006434382,0.00018783,4.01E-06,4.05E-07
2.294064162,0.110351371,0.006771306,0.000569592,1.26E-05,6.36E-07
1.866963359,0.052318533,0.008763326,0.000266177,3.81E-06,5.12E-07
1.316715746,0.034796037,0.00566895,0.000229746,3.26E-06,4.26E-07
0.587810448,0.027255066,0.00896922,5.16E-05,1.07E-06,2.85E-07
1.672563227,0.052221137,0.007698732,0.000260874,4.09E-06,4.87E-07
0.872757161,0.036553832,0.009596975,8.50E-05,1.70E-06,3.42E-07
0.916351455,0.030036797,0.004995361,0.000152807,2.44E-06,3.55E-07
2.05037235,0.050196126,0.003596036,0.000699261,8.76E-06,5.87E-07
2.384117017,0.065982105,0.003110597,0.001021198,1.48E-05,6.45E-07
1.072303648,0.069299922,0.010370983,0.000123123,3.07E-06,4.00E-07
1.664740988,0.048657306,0.007061875,0.000274297,4.15E-06,4.82E-07
1.602215904,0.075293119,0.008546229,0.000250134,5.23E-06,4.92E-07
1.4286401,0.095895027,0.003604346,0.000550669,1.40E-05,5.29E-07
1.18732619,0.030744374,0.003966602,0.000268541,3.87E-06,4.10E-07
3.427535962,0.077969352,0.009617708,0.000620319,7.99E-06,7.48E-07
4.020783622,0.079659693,0.005669496,0.001332396,1.50E-05,8.79E-07
3.016022055,0.063573837,0.009921074,0.000484783,5.87E-06,6.85E-07
1.486708697,0.055717301,0.007344024,0.00024273,4.56E-06,4.64E-07
1.779105086,0.067890941,0.008747089,0.000267751,4.98E-06,5.07E-07
1.520681056,0.051450695,0.005602719,0.000312922,5.55E-06,4.72E-07
1.141863957,0.07676162,0.008985902,0.000162803,4.05E-06,4.31E-07
2.270382852,0.107927584,0.01193143,0.000321018,6.69E-06,6.14E-07
2.403397178,0.087889249,0.006967915,0.000545737,1.06E-05,6.26E-07
2.254491926,0.083021311,0.006641151,0.000512639,9.68E-06,6.03E-07
3.773010192,0.065696881,0.002583284,0.002255379,2.57E-05,8.40E-07
0.885631358,0.013100011,0.012952391,5.65E-05,7.21E-07,3.30E-07
3.902362983,0.07592663,0.006232732,0.001122287,1.37E-05,8.24E-07
1.747086253,0.053981343,0.008195851,0.000265059,4.37E-06,4.96E-07
2.865481766,0.121682276,0.005104118,0.001049481,2.26E-05,7.49E-07
4.195744131,0.076084021,0.004312211,0.001763301,2.03E-05,8.89E-07
1.078973757,0.016281257,0.009374922,9.92E-05,1.18E-06,3.62E-07
0.646819298,0.016402957,0.011712063,4.37E-05,6.72E-07,2.99E-07
3.484765873,0.062138935,0.004022066,0.001363875,1.54E-05,7.78E-07
1.409377382,0.069054199,0.011011927,0.000164214,3.55E-06,4.54E-07
2.673823942,0.163206669,0.0129568,0.0004198,1.13E-05,6.92E-07
1.142469574,0.046554469,0.002934983,0.000371071,7.21E-06,4.28E-07
2.260968844,0.040800664,0.004644414,0.000606043,6.83E-06,5.88E-07
1.589932777,0.040156599,0.006029814,0.00029285,4.53E-06,4.68E-07
3.562334832,0.104366633,0.014335605,0.000470794,7.88E-06,7.58E-07
4.198367166,0.085555552,0.011191403,0.000727008,8.92E-06,8.44E-07
1.640806439,0.028228363,0.004796945,0.000351084,4.32E-06,4.74E-07
4.234246322,0.139228539,0.013173777,0.000694986,1.34E-05,8.58E-07
3.738737071,0.12420911,0.007057721,0.001090713,2.25E-05,8.31E-07
2.545549342,0.192812608,0.016417772,0.000337045,1.04E-05,6.87E-07
3.347722691,0.151356192,0.008221964,0.000863044,2.11E-05,7.92E-07
2.776619226,0.185457229,0.012501965,0.000479782,1.41E-05,7.16E-07
5.247543343,0.094605017,0.016020308,0.00068783,7.75E-06,9.31E-07
5.463270622,0.201321601,0.012752857,0.001120884,2.40E-05,1.04E-06
1.974320596,0.046814463,0.004866892,0.000500519,7.47E-06,5.43E-07
2.10712373,0.088237443,0.012102905,0.00027162,5.84E-06,5.65E-07
2.187317746,0.079292565,0.015391319,0.000220855,3.92E-06,5.81E-07
2.004387854,0.127766991,0.012326038,0.000286679,7.88E-06,5.80E-07
6.997992919,0.109749741,0.005965116,0.002960998,3.06E-05,1.25E-06
2.191827198,0.022700766,0.008238553,0.000309019,2.75E-06,5.31E-07
5.136986851,0.163475637,0.004633668,0.002752745,5.83E-05,1.08E-06
2.556068308,0.08767382,0.011893089,0.000350577,7.02E-06,6.17E-07
2.46197337,0.146681837,0.004762752,0.00103805,3.11E-05,7.13E-07
3.381709751,0.111211083,0.006100545,0.001035632,1.98E-05,7.77E-07
4.407005684,0.21039156,0.009884407,0.001112295,2.51E-05,9.64E-07
3.057175342,0.125172645,0.009161281,0.000645166,1.34E-05,7.41E-07
3.192168906,0.186173846,0.015811967,0.000452672,1.25E-05,7.63E-07
2.113534381,0.046083044,0.008815821,0.000300998,4.12E-06,5.29E-07
2.978525541,0.072962767,0.010671148,0.000460354,6.65E-06,6.81E-07
8.871205042,0.140839652,0.015429914,0.001652729,1.88E-05,1.34E-06
7.178251538,0.211531101,0.019036319,0.001068144,1.97E-05,1.19E-06
7.867302131,0.182611967,0.018198597,0.001229793,1.86E-05,1.25E-06
10.62664382,0.140151031,0.011521488,0.002922815,2.85E-05,1.56E-06
5.424385995,0.156298148,0.011592336,0.001146477,1.91E-05,1.03E-06
6.756042445,0.158073004,0.002900428,0.005793343,9.61E-05,1.27E-06
7.943304739,0.200120698,0.003945136,0.005999673,0.000111179,1.43E-06
5.080700238,0.091567857,0.008352074,0.001292454,1.64E-05,9.61E-07
3.134846929,0.098083202,0.017100378,0.000332845,5.09E-06,7.18E-07
3.811818069,0.069210547,0.019452053,0.000352538,4.20E-06,7.61E-07
10.81152573,0.171895831,0.016381561,0.002141507,2.47E-05,1.54E-06
2.813617458,0.052513459,0.003743273,0.001066585,1.33E-05,6.88E-07
4.723820839,0.286449138,0.020596273,0.000657983,2.07E-05,9.72E-07
2.37014952,0.104323319,0.012925364,0.000315068,7.22E-06,6.12E-07
5.127638358,0.088474817,0.012055468,0.000895428,1.09E-05,9.35E-07
7.072176467,0.139280476,0.010788657,0.001747667,2.30E-05,1.21E-06
7.258775262,0.266136293,0.011602175,0.001947461,4.25E-05,1.28E-06
3.768043588,0.198245852,0.022128373,0.000395839,9.67E-06,8.29E-07
7.095241739,0.198254833,0.015861136,0.001257007,2.35E-05,1.18E-06
4.362371582,0.2921602,0.013976966,0.000870145,2.64E-05,9.61E-07
7.022802775,0.323648491,0.021000943,0.001059696,2.75E-05,1.21E-06
8.35877321,0.138155473,0.013714848,0.001703109,2.06E-05,1.30E-06
9.832636923,0.126641321,0.015822702,0.001854495,1.72E-05,1.44E-06
6.966518392,0.290954219,0.023823701,0.000897099,2.21E-05,1.19E-06
6.192016705,0.126125542,0.017765338,0.000834026,1.17E-05,1.04E-06
6.271636225,0.200902159,0.018713302,0.000886629,1.61E-05,1.09E-06
9.064874646,0.273057836,0.016968763,0.001750377,3.48E-05,1.40E-06
11.58799825,0.127288019,0.003045515,0.011425313,0.000122923,1.72E-06
6.155158436,0.157948248,0.005107956,0.00315945,5.23E-05,1.21E-06
5.297901907,0.09661054,0.023390152,0.000499276,5.93E-06,9.52E-07
2.573000748,0.037180594,0.018784571,0.000197701,2.24E-06,5.97E-07
11.34271973,0.137038123,0.006917628,0.005431642,6.29E-05,1.67E-06
6.550329297,0.152774992,0.021268219,0.000794553,1.17E-05,1.11E-06
6.495823008,0.242069974,0.021485791,0.00087806,2.05E-05,1.13E-06
8.231523581,0.191348032,0.005645193,0.004530863,8.51E-05,1.42E-06
8.261199175,0.216834577,0.010242711,0.002507716,4.14E-05,1.39E-06
6.355106837,0.132366341,0.016469914,0.000956169,1.46E-05,1.07E-06
6.164428882,0.395658268,0.013936231,0.001482169,4.47E-05,1.21E-06
3.99399456,0.141315387,0.014619687,0.000585845,1.13E-05,8.38E-07
5.202606936,0.302225219,0.025467928,0.000590736,1.67E-05,1.02E-06
6.483901427,0.092255208,0.018297326,0.000831882,9.32E-06,1.06E-06
9.289212494,0.357794687,0.013603819,0.002449857,5.55E-05,1.50E-06
3.010453765,0.044963065,0.008640672,0.00052584,5.79E-06,6.70E-07
8.042218692,0.175892249,0.016357806,0.001419972,2.03E-05,1.29E-06
11.32689781,0.165098616,0.01678164,0.002190237,2.54E-05,1.55E-06
5.329086273,0.105491368,0.025483416,0.000464877,6.28E-06,9.43E-07
2.898665159,0.036430445,0.015919977,0.000273751,3.25E-06,6.29E-07
7.583187728,0.104656771,0.024611221,0.000776678,8.24E-06,1.15E-06
5.276528227,0.099302097,0.016154111,0.000705436,8.83E-06,9.43E-07
6.528247631,0.192564547,0.009577087,0.001896456,3.75E-05,1.18E-06
21.16481495,0.315907723,0.013898633,0.007482634,0.000111543,2.44E-06
4.432532227,0.0594879,0.014522148,0.000578484,6.51E-06,8.32E-07
21.12925966,0.41200416,0.027418163,0.003757551,7.21E-05,2.28E-06
5.83322327,0.052963922,0.014457137,0.00084582,7.45E-06,9.74E-07
11.2412521,0.195491472,0.027610935,0.001343347,1.92E-05,1.51E-06
7.52003845,0.084842307,0.017086292,0.00108857,1.15E-05,1.15E-06
4.369489412,0.062966288,0.007875079,0.001057985,1.26E-05,8.65E-07
30,0.225842112,0.016253583,0.010137306,8.75E-05,2.97E-06
11.08658326,0.197365733,0.020239444,0.001822196,2.86E-05,1.51E-06
21.30152929,0.232356883,0.010374982,0.009775793,0.000114329,2.47E-06
6.70394279,0.179497723,0.012459846,0.001498987,3.03E-05,1.16E-06
14.17220964,0.393960275,0.031403618,0.00185367,4.06E-05,1.78E-06
17.80704828,0.403405766,0.031069931,0.002562943,4.75E-05,2.05E-06
11.44963098,0.261386632,0.01941861,0.002075793,4.03E-05,1.55E-06
15.21569143,0.23757873,0.015581098,0.003895378,5.49E-05,1.92E-06
18.24553572,0.353252994,0.042008267,0.001887461,3.08E-05,2.02E-06
5.434287437,0.059552395,0.009864697,0.001143413,1.30E-05,9.53E-07
17.28835475,0.243749087,0.022394891,0.003179319,4.05E-05,2.01E-06
11.23891958,0.357870047,0.014582713,0.003092571,7.61E-05,1.68E-06
18.85955103,0.210283919,0.021399203,0.003745983,4.17E-05,2.13E-06
16.59893426,0.448539292,0.028728027,0.002621193,5.88E-05,1.99E-06
11.80792721,0.195907999,0.009240652,0.004618567,7.48E-05,1.70E-06
17.0471082,0.261027899,0.01962653,0.003705219,5.70E-05,2.04E-06
7.254302455,0.193810909,0.028598664,0.000682948,1.30E-05,1.12E-06
6.742471641,0.175737657,0.011840214,0.001569222,3.03E-05,1.16E-06
13.70495724,0.14578098,0.033139079,0.001455449,1.61E-05,1.68E-06
26.41262522,0.256636601,0.021655003,0.006331456,7.53E-05,2.67E-06
21.8080419,0.362717953,0.042561835,0.002431087,3.93E-05,2.26E-06
22.08729908,0.182149989,0.025355971,0.003864735,3.77E-05,2.27E-06
14.16146248,1.010390752,0.030869885,0.002664905,0.000104685,2.05E-06
30,0.228185916,0.017290445,0.009342747,0.000101385,2.92E-06
25.20326665,0.569304027,0.042108058,0.003308674,6.92E-05,2.55E-06
11.70680655,0.290633579,0.01656861,0.00270336,5.25E-05,1.69E-06
8.002986593,0.187128282,0.040842788,0.000583507,1.15E-05,1.22E-06
7.96426268,0.129805713,0.023031839,0.000951474,1.45E-05,1.20E-06
24.40482882,0.532159557,0.029244065,0.004642898,9.49E-05,2.59E-06
9.782621195,0.079752613,0.018766302,0.001494849,1.54E-05,1.36E-06
30,0.564106845,0.026225303,0.007214869,0.000170629,2.97E-06
30,0.257819118,0.013450408,0.012615468,0.000152532,3.01E-06
21.0344535,0.273776302,0.031199501,0.003126409,4.50E-05,2.25E-06
22.97918064,0.807306236,0.030446111,0.004554917,0.000126116,2.59E-06
30,0.402521469,0.035115336,0.004828187,8.24E-05,2.82E-06
12.98409895,0.158233992,0.040808044,0.001099974,1.36E-05,1.61E-06
9.849528237,0.289903872,0.037337025,0.000901685,1.86E-05,1.42E-06
16.44891233,0.283771747,0.030915809,0.002193326,3.31E-05,1.94E-06
7.374953425,0.09385061,0.027001503,0.000699484,1.05E-05,1.11E-06
15.33226279,0.600581922,0.0316748,0.002235607,5.60E-05,1.95E-06
30,0.373687646,0.040088268,0.00406976,6.86E-05,2.74E-06
18.24068487,0.574116461,0.028030396,0.003246678,7.92E-05,2.17E-06
9.499958087,0.08484917,0.014449741,0.001869544,1.74E-05,1.37E-06
30,0.239442626,0.032878864,0.004750168,5.57E-05,2.69E-06
25.76645097,0.971005177,0.012610633,0.015478861,0.000494253,3.21E-06
16.07209627,0.098747729,0.027920901,0.00212392,1.49E-05,1.87E-06
30,1.193701596,0.063001053,0.004115988,0.00017102,3.21E-06
30,0.463974031,0.035809025,0.005166865,0.00012009,2.92E-06
30,0.225422864,0.017085681,0.009793686,0.000122071,2.98E-06
30,1.051325152,0.04658708,0.004301267,0.000119245,2.95E-06
21.88045756,1.203133742,0.020463578,0.008142319,0.000312608,2.87E-06
17.41370149,0.40757978,0.011746679,0.007478213,0.000163634,2.31E-06
11.18425854,0.60467533,0.023890536,0.002551746,0.000105348,1.81E-06
13.5802577,0.211421294,0.054050986,0.00093141,1.50E-05,1.66E-06
14.36594004,0.101345919,0.024607176,0.002056589,1.78E-05,1.75E-06
22.45544644,1.312641484,0.033438691,0.004712752,0.000167577,2.72E-06
30,0.574773326,0.010873061,0.024164396,0.000857143,3.67E-06
29.1336573,0.233130466,0.035092357,0.004379389,4.72E-05,2.72E-06
27.16401398,1.049026555,0.040759755,0.004665923,0.000144385,2.91E-06
20.27397186,0.366828466,0.023032671,0.004411754,8.93E-05,2.31E-06
14.33984765,0.254769062,0.062158262,0.000899628,1.39E-05,1.76E-06
30,0.218958051,0.036879083,0.004196965,4.04E-05,2.70E-06
30,0.701292014,0.046480678,0.004222407,0.000116218,2.93E-06
27.65738603,1.231608632,0.05293762,0.003648826,0.000114301,2.88E-06
18.05033588,0.16975517,0.025307722,0.002977283,3.72E-05,2.04E-06
19.33786269,0.302902065,0.040378995,0.002148193,3.47E-05,2.11E-06
30,0.541340681,0.041659522,0.004772737,0.000143233,2.96E-06
30,0.577259773,0.027858427,0.008144326,0.000290212,3.19E-06
30,0.579878635,0.03946899,NA,NA,1.15E-06
